고객번호,계좌번호,상품코드,평점,연수익률,계좌만기율
1,1002541327170,6,0.5405,6,0.42071
1,1002541327171,7,0.606,6.5,0.36008
1,1002541327172,8,0.606,6,0.56404
1,1002541327173,9,0.8685,8,0.85853
1,1002541327174,10,0.5605,5,0.5782
2,1002541327175,1,0.51,3.5,0.71029
2,1002541327176,2,0.3385,3,0.55611
2,1002541327177,3,0.3735,3,0.61339
2,1002541327178,4,0.49,2.5,0.96804
2,1002541327179,5,0.52,4,0.60162
2,1002541327180,6,0.692,6,0.79659
2,1002541327181,7,0.581,6.5,0.31984
2,1002541327182,8,0.323,6,0.00774
2,1002541327183,9,0.5305,8,0.13567
2,1002541327184,10,0.5305,5,0.49533
3,1002541327185,1,0.4445,3.5,0.55697
3,1002541327186,2,0.187,3,0.25321
3,1002541327187,3,0.419,3,0.74872
3,1002541327188,4,0.404,2.5,0.8139
3,1002541327189,5,0.596,4,0.79671
3,1002541327190,6,0.7525,6,0.90661
3,1002541327191,7,0.4445,6.5,0.06724
3,1002541327192,8,0.485,6,0.31991
3,1002541327193,9,0.702,8,0.43475
3,1002541327194,10,0.3435,5,0.17263
4,1002541327195,1,0.5755,3.5,0.86781
4,1002541327196,2,0.106,3,0.09619
4,1002541327197,3,0.495,3,0.90586
4,1002541327198,4,0.096,2.5,0.18612
4,1002541327199,5,0.5405,4,0.65713
4,1002541327200,6,0.4645,6,0.29214
4,1002541327201,7,0.505,6.5,0.18628
4,1002541327202,8,0.389,6,0.16382
4,1002541327203,9,0.697,8,0.42535
4,1002541327204,10,0.6715,5,0.86201
5,1002541327205,1,0.581,3.5,0.87633
5,1002541327206,2,0.313,3,0.46901
5,1002541327207,3,0.283,3,0.42025
5,1002541327208,4,0.313,2.5,0.59959
5,1002541327209,5,0.212,4,0.0036
5,1002541327210,6,0.419,6,0.22036
5,1002541327211,7,0.5355,6.5,0.23965
5,1002541327212,8,0.495,6,0.34897
5,1002541327213,9,0.5605,8,0.19063
5,1002541327214,10,0.717,5,0.92499
6,1002541327215,1,0.2325,3.5,0.14607
6,1002541327216,2,0.303,3,0.44801
6,1002541327217,3,0.485,3,0.8901
6,1002541327218,4,0.212,2.5,0.37022
6,1002541327219,5,0.3435,4,0.27017
6,1002541327220,6,0.3335,6,0.044
6,1002541327221,7,0.8585,6.5,0.90691
6,1002541327222,8,0.6565,6,0.67024
6,1002541327223,9,0.611,8,0.28886
6,1002541327224,10,0.712,5,0.91038
7,1002541327225,1,0.3735,3.5,0.39799
7,1002541327226,2,0.52,3,0.93078
7,1002541327227,3,0.177,3,0.23849
7,1002541327228,4,0.3735,2.5,0.78886
7,1002541327229,5,0.697,4,0.96964
7,1002541327230,6,0.5605,6,0.46878
7,1002541327231,7,0.601,6.5,0.35573
7,1002541327232,8,0.3485,6,0.08292
7,1002541327233,9,0.6715,8,0.37627
7,1002541327234,10,0.692,5,0.90382
8,1002541327235,1,0.2725,3.5,0.22579
8,1002541327236,2,0.5305,3,0.93687
8,1002541327237,3,0.399,3,0.66546
8,1002541327238,4,0.3635,2.5,0.72431
8,1002541327239,5,0.2375,4,0.06207
8,1002541327240,6,0.49,6,0.34882
8,1002541327241,7,0.6315,6.5,0.41133
8,1002541327242,8,0.3735,6,0.1237
8,1002541327243,9,0.783,8,0.64117
8,1002541327244,10,0.7525,5,0.98633
9,1002541327245,1,0.626,3.5,0.93144
9,1002541327246,2,0.0555,3,0.00065
9,1002541327247,3,0.197,3,0.27391
9,1002541327248,4,0.399,2.5,0.80046
9,1002541327249,5,0.2525,4,0.09212
9,1002541327250,6,0.3285,6,0.0221
9,1002541327251,7,0.515,6.5,0.20545
9,1002541327252,8,0.51,6,0.36673
9,1002541327253,9,0.722,8,0.47277
9,1002541327254,10,0.5505,5,0.55905
10,1002541327255,1,0.1665,3.5,0.00677
10,1002541327256,2,0.111,3,0.12098
10,1002541327257,3,0.202,3,0.28205
10,1002541327258,4,0.0655,2.5,0.12254
10,1002541327259,5,0.611,4,0.84489
10,1002541327260,6,0.4745,6,0.30336
10,1002541327261,7,0.783,6.5,0.78968
10,1002541327262,8,0.6365,6,0.65073
10,1002541327263,9,0.4545,8,0.00048
10,1002541327264,10,0.525,5,0.47583
